Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
-21.82297,-43.32536,586.6,0,
-21.822933,-43.325337,587.9,0.005,
-21.822896,-43.325313,589.1,0.01,
-21.822859,-43.32529,590.4,0.014,
-21.822822,-43.325267,591.6,0.019,
-21.822785,-43.325244,592.5,0.024,
-21.822749,-43.32522,593.5,0.029,22
-21.822712,-43.325197,594.5,0.033,22
-21.822675,-43.325174,595.4,0.038,21
-21.822638,-43.32515,596.4,0.043,21
-21.822601,-43.325127,597.4,0.048,21
-21.822564,-43.325104,598.4,0.052,21
-21.822527,-43.32508,599.5,0.057,22
-21.82249,-43.325057,600.5,0.062,22
-21.822453,-43.325034,601.5,0.067,22
-21.822416,-43.325011,602.6,0.071,22
-21.82238,-43.324987,603.7,0.076,22
-21.822343,-43.324964,604.7,0.081,22
-21.822306,-43.324941,605.8,0.086,22
-21.822269,-43.324917,606.9,0.09,22
-21.822232,-43.324894,607.8,0.095,22
-21.822195,-43.324871,608.8,0.1,22
-21.822158,-43.324847,609.8,0.105,22
-21.822121,-43.324824,610.8,0.11,22
-21.822084,-43.324801,611.8,0.114,22
-21.822047,-43.324778,612.9,0.119,22
-21.822011,-43.324754,613.9,0.124,23
-21.821974,-43.324731,615,0.129,23
-21.821937,-43.324708,616.1,0.133,23
-21.8219,-43.324684,617.2,0.138,22
-21.821863,-43.324661,618.4,0.143,22
-21.821826,-43.324638,619.5,0.148,21
-21.821789,-43.324615,620.7,0.152,21
-21.821752,-43.324591,621.9,0.157,21
-21.821715,-43.324568,622.7,0.162,20
-21.821678,-43.324545,623.5,0.167,20
-21.821642,-43.324521,624.3,0.171,20
-21.821605,-43.324498,625.1,0.176,19
-21.821568,-43.324475,625.9,0.181,19
-21.821531,-43.324451,626.9,0.186,19
-21.821494,-43.324428,627.8,0.19,20
-21.821457,-43.324405,628.8,0.195,20
-21.82142,-43.324382,629.8,0.2,21
-21.821383,-43.324358,630.8,0.205,22
-21.821346,-43.324335,631.8,0.209,22
-21.821309,-43.324312,632.8,0.214,22
-21.821273,-43.324288,633.9,0.219,23
-21.821236,-43.324265,635,0.224,23
-21.821199,-43.324242,636.1,0.229,23
-21.821162,-43.324219,637.2,0.233,24
-21.821125,-43.324195,638.3,0.238,24
-21.821088,-43.324172,639.5,0.243,23
-21.821051,-43.324149,640.6,0.248,22
-21.821014,-43.324125,641.8,0.252,21
-21.820977,-43.324102,643,0.257,20
